id,nomor_rekening,nama_lengkap,tanggal_transaksi,jumlah_kredit,keterangan
1,5428734732685414,Rosy Venable,10/15/2024,166275.99,A tailored slim fit shirt for a polished look at work.
2,3563984105150138,Gavra Rodmell,3/15/2025,89662.34,"Organic rolled oats, great for breakfast or baking."
3,3570588949957730,Reinaldo Hector,2/21/2025,822171.67,Powerful hand blender for soups and smoothies.
4,374283443205323,Rick Overshott,3/8/2025,573131.17,Light and crunchy rice cakes made from organic brown rice.
5,201722386077768,Jeannine Scolts,1/29/2025,497502.24,Lantern that repels mosquitoes while providing light.
6,201757123747372,Kira Bygreaves,9/23/2024,996.16,Cozy beanie hat to keep your head warm in the cold.
7,5893585784438896,Waylan Theis,12/29/2024,959595.97,"Ready-to-bake garlic breadsticks, perfect with pasta dishes."
8,3562785270832843,Drusi Hayford,5/17/2024,580692.37,Comprehensive first aid kit for emergency situations.
9,5007666622639102,Hunfredo Beyn,11/9/2024,38335.92,Quick and easy rice pilaf mix for side dishes.
10,5446842784257251,Florian Vigours,4/13/2025,509891.87,Chic slingback sandals for a relaxed summer vibe.
11,3567927641973956,Gwendolyn Sigsworth,7/25/2024,993612.71,Soft corner protectors to keep babies safe at home.
12,4913123981818659,Elisha Dovey,6/11/2024,735553.6,"Fast and compact external solid state drive, 1TB."
13,201753118319269,Gaye Ingrey,3/4/2025,422521.79,Relieve muscle tension and soreness with this foam roller.
14,3531543862872372,Zacharie Silmon,1/31/2025,690779.45,Rich vegetable broth for soups and stews.
15,3542122225526350,Paddie Spensley,1/16/2025,730050.36,Crispy almonds coated with cinnamon and sugar for a sweet and crunchy snack.
16,3547108605684351,Evita Pennoni,12/5/2024,636658.64,"Rich in selenium, perfect for snacking or baking."
17,5038870568165832,Elianore Cudbird,8/29/2024,171655.4,Portable rechargeable warmer for cold days.
18,30371767486250,Dunn Laboune,6/2/2024,503602.93,Indoor Wi-Fi camera for home security.
19,4175008988701300,Trix Oxx,1/1/2025,110250.01,"A blend of dried fruits and nuts, great for snacking."
20,6762270186512043414,Freedman Canceller,10/14/2024,376982.32,Quick meal kit with pasta and fresh vegetables.
21,5137549745784505,Liv Vanyashkin,7/21/2024,939103.01,"Sweet bread with cinnamon and raisins, great for breakfast or snacks."
22,201550276781771,Carroll Goudard,10/16/2024,840355.39,Heavy-duty bicycle lock for security.
23,3586178883271751,Sergei MacCorley,2/15/2025,903184.68,Compact and portable backpack for day trips and travel.
24,30549794369850,Klemens Drabble,6/10/2024,918200.91,Soft and chewy cookies made with creamy peanut butter.
25,3552207251157746,Vernon Realff,11/30/2024,227131.55,A seasonal creamer that adds pumpkin spice flavor to coffee or tea.
26,3561128245165323,Cordie Mohammed,5/9/2025,539340.37,"Trendy high-low tee with a relaxed fit, ideal for weekends."
27,3550105358154719,Prudi Garnar,10/29/2024,960550.97,"A zesty marinade made with lemon juice and garlic, ideal for chicken or fish."
28,3533162860470838,Genny Dupoy,5/3/2025,859214.84,Complete crafting kit for kids and adults.
29,67627316548805045,Ardine Westrip,1/11/2025,902133.66,Compact USB fan for personal cooling.
30,3533974482225014,Kipper Howen,11/25/2024,492067.32,"Freshly cut carrot sticks, perfect for snacking."
31,5610219732759672,Auroora Trase,10/14/2024,978593.05,"Frozen sausage patties made with herbs and spices, perfect for breakfast sandwiches."
32,5641826247361619666,Vanya Bruckental,9/16/2024,590378.97,"A zesty salsa made from ripe avocados, tomatoes, onions, and jalapeños, great for dipping or topping."
33,490328900105513724,Blondy McBain,7/19/2024,724154.68,Fun tabletop air hockey for home or office.
34,3583582011690951,Gawen Slocombe,7/28/2024,759769.22,"A fluffy pancake mix infused with maple and pecans, perfect for a hearty breakfast."
35,5610471263227302,Natale Frede,2/5/2025,697188.08,Delicious dark chocolate cups filled with creamy peanut butter.
36,3534056743776586,Emera Roja,4/16/2025,576831.82,Spice blend for creating flavorful vegan taco filling.
37,3564298323431389,Clem Midson,7/5/2024,76277.11,Specialized attachment for removing pet hair from surfaces.
38,4041375435332076,Larisa Gjerde,2/14/2025,467811.3,"Sliced black olives, perfect for salads and pizzas."
39,3554785717770333,Charmian Willgrass,12/31/2024,736149.28,"Sweet, chewy dried apricots, great for snacking or baking."
40,3562570027469242,Stephine Cuel,4/27/2025,30502.17,"A nutritious quinoa salad with veggies and dressing, ready-to-eat."
41,6767444769710344,Dorene Chainey,2/20/2025,369623.95,"Gluten-free flour made from ground chickpeas, great for cooking."
42,4905017173233873431,Thatch de Clerc,6/12/2024,298006.47,Sustainable bamboo utensils for cooking and serving.
43,3547997323737941,Albina Isles,5/20/2024,164454.77,Moisturizing body wash with natural ingredients.
44,060409572830819081,Bevon Hought,3/19/2025,65011.99,Convenient stroller for pets to enjoy outdoor walks.
45,3537646340408844,Sybil Hulance,8/4/2024,415908.78,"Oven-roasted sliced turkey, perfect for sandwiches."
46,30431741869367,Ertha Kinder,11/22/2024,675338.75,Bluetooth-enabled key tracker to find lost items easily.
47,5245103478088939,Keir Childes,10/21/2024,550198.43,"Refreshing and tangy fermented tea, available in various flavors."
48,5602241798500493,Chandal Norvell,7/31/2024,924435.88,"Creamy ranch dressing, perfect for salads and dips."
49,3558576421371062,Ingar Tothe,3/7/2025,414310.58,Safety vest for pets during nighttime walks.
50,3585728850804132,Kristopher Bradnum,5/21/2024,707828.7,Savory sausage links seasoned with Italian spices.
51,06045072639627283,Thaddeus Donovan,6/23/2024,928900.99,Soft and chewy cookies made with creamy peanut butter.
52,5100178762649020,Lauralee Dewhurst,7/16/2024,477381.62,Set of reusable baking cups for muffins and cupcakes.
53,6333228929299396932,Angelika Klampk,2/11/2025,623853.94,Learning tablet with kid-friendly educational apps.
54,3579295408093541,Valencia Drescher,4/6/2025,64342.69,Filters allergens and pollutants from the air for a healthier home.
55,5602222250557353,Henrie Robertazzi,6/10/2024,734128.82,Educational robotics kit for building and programming.
56,3557441176399423,Ellynn Lawrie,1/17/2025,561677.85,Waterproof rain jacket with adjustable hood.
57,3548414392319816,Mariam Cragell,10/5/2024,188861.09,Baking mix to create your favorite Samoa-style cookies at home.
58,5610296709868931668,Cinderella O'Mohun,1/7/2025,131646.24,Bell peppers filled with quinoa and vegetables.
