id,nomor_rekening,nama_lengkap,tanggal_transaksi,jumlah_debit,keterangan
1,201860002600413,Decca Van Waadenburg,9/30/2024,851220.6,A seasoning blend of garlic and herbs to enhance any dish.
2,3549145037047698,Tallulah McCoveney,12/14/2024,212003.13,"Crumbled feta cheese, perfect for salads and Mediterranean dishes."
3,201503308020411,Nichols Wandrich,7/20/2024,413589.36,"Spicy chili in a can, ready to eat for a filling meal."
4,5602245040404104779,Heath Ancliff,5/16/2024,676904.93,Rechargeable screwdriver with multiple bits for DIY projects.
5,3536549037995811,Lexis Tesche,11/15/2024,800667.29,Artichoke hearts marinated in herbs and oil.
6,3562553675550372,Ernesta Mercer,8/31/2024,470623.78,Rich and creamy almond milk with a hint of chocolate.
7,3546203084664650,Kimmi Mardell,10/28/2024,872224.42,A colorful printed maxi skirt for a bohemian look.
8,6381688844727725,Roddie Menicomb,2/3/2025,684212.18,Crunchy pretzel sticks made with honey and whole wheat.
9,4175003301388885,Deanne Eltune,6/9/2024,149409.18,A nourishing bowl of sweet potatoes and chickpeas with spices.
10,5610683486364338,Claire Kerfut,3/4/2025,953453.77,Rotating spice rack with 20 spice jars.
11,5602253202070078930,Adeline Greger,9/2/2024,142363.51,Stay warm with this stylish knit beanie in various colors.
12,3549022437413392,Egan Berthelmot,1/13/2025,160054.51,A fashion-forward bomber jacket to elevate your casual looks.
13,30237551293626,Heall Plaunch,7/14/2024,439643.18,"Creamy yogurt made from coconut milk, dairy-free and delicious."
14,3576932531686485,Bastien Guiduzzi,10/2/2024,911304.2,Waterproof picnic blanket for outdoor fun.
15,3580445381874824,Teresa Burnitt,6/19/2024,720966.11,Durable cover to protect your grill from the elements.
16,4917772872956576,Phoebe Trunby,5/13/2024,469530.94,Rich and tangy dressing perfect for salads.
17,3539413493240575,Carolynn Sevier,12/24/2024,552557.36,Reusable suction cup hooks for hanging items.
18,201882060765631,Leanor Dumbreck,1/1/2025,591757.94,Infuser for brewing loose-leaf herbal teas easily.
19,0604745682282306,Gerrilee Beek,12/2/2024,18581.25,"Aromatic long-grain basmati rice, perfect for curries."
20,3578181482331547,Amelina Pullin,11/10/2024,516997.48,Portable solar shower for camping and outdoor use.
21,6331101522454217,Marta Kemmett,11/9/2024,781304.92,"A zesty marinade made with lemon juice and garlic, ideal for chicken or fish."
22,6331109139807636,Shane Kleis,7/27/2024,469239.47,Adjustable phone mount for car dashboard.
