id,nomor_rekening,nama_lengkap,tanggal_transaksi,jumlah_kredit,keterangan
1,5602238019263762223,Lilla Shreeves,1/20/2025,55838.02,Delicious cookies packed with oats and raisins.
2,4913542953254850,Ody Ubank,10/19/2024,996997.48,"Sweet and nutritious potatoes, great for roasting."
3,4405501440513174,Isadora Methven,4/11/2025,139183.75,"A classic soup combining tomatoes and basil, great with grilled cheese sandwiches."
4,3535267492623056,Andres Benny,1/7/2025,992737.63,Complete kit to make your own flavored lip balms at home.
5,3549158499530663,Clayton Hambidge,10/18/2024,456323.86,Compact hair dryer with multiple heat settings.
6,3554816000888605,Dorita Maharey,12/4/2024,14821.03,Foldable chair equipped with a cooler pouch.
7,5602210705034755,Daniela Vasiltsov,10/28/2024,490448.87,Quick boiling kettle for small kitchens and dorms.
8,372301709904900,Joey Sjostrom,4/18/2025,960185.41,A protein-packed pancake mix for a nutritious breakfast.
9,6304104897451263432,Angelico Bruce,4/2/2025,38702.3,Complete watercolor set with paints and brushes.
10,6759285587148779744,Herc Sowthcote,1/31/2025,618642.87,Space-saving broom holder for organized cleaning supplies.
11,4041370179823463,Adina Revens,6/24/2024,793051.44,Durable backpack for hiking or travel.
12,3560077901733703,Christoforo Gillham,3/18/2025,50027.82,Spicy chili sauce for an extra kick in your meals.
13,5100134196495506,Caryl Bradtke,3/14/2025,446354.55,Soft and breathable pillowcase for body pillows.
14,633499821329646025,Nikolas Townend,1/30/2025,29793.52,No-bake protein balls with chocolate and coconut flavors.
15,30057899896694,Verile Gerhold,2/6/2025,819226.84,Non-stick baking mat for easy cooking and cleanup.
16,3547971993482765,Pammy Leser,10/28/2024,940708.05,"Heavy-duty rope suitable for boating, camping, and general use."
17,3576200878668411,Homere Thurske,2/19/2025,353052.12,"Sweet and tender peach slices preserved in syrup, great for desserts."
18,5602257572812383,Meade Thormann,9/16/2024,34405.91,"Lightweight cover-up perfect for the beach, with a breezy design."
19,0604328731032426,Adelle Whetson,12/8/2024,537715.83,Fresh pre-cut carrot and celery sticks for easy snacking.
20,3533595879399631,Donn Tolcharde,11/24/2024,490591.92,Ideal for creating custom designs on t-shirts and fabrics.
21,561060690944585443,Roselle Sabin,12/16/2024,464299.4,Crunchy granola made with organic oats
22,4905762679289007234,Ody Rapa,10/15/2024,891224.51,Ergonomic monitor stand for improved workspace organization.
23,3547057168869133,Emmalee Shipcott,9/4/2024,877518.02,"Crunchy pretzels coated in rich chocolate, a sweet treat."
24,3581724371620812,Charmian Aitcheson,7/17/2024,93026.53,Delicious cookies packed with oats and raisins.
25,201588849645701,Lorine Godleman,4/25/2025,215038.49,"Creamy ice cream with a warm cinnamon flavor, perfect for dessert."
26,67066692435159979,Vinnie Hudspith,12/29/2024,797846.41,"Wild-caught tuna in olive oil, perfect for salads."
27,3534566050161248,Jorie Fihelly,9/30/2024,893462.53,Insulated pitcher to keep beverages cold or hot.
28,3528497027465207,Florence Adamthwaite,7/9/2024,400032.29,Compact organizer for cosmetics during travel.
29,3540148806430680,Barbee McQuilliam,4/22/2025,701211.53,Adjustable phone mount for car dashboard.
30,5577376991856390,Marie-ann Bethune,1/22/2025,132875.11,"Juicy peach slices in syrup, perfect for desserts."
31,5602257046890030431,Lesli Mellmoth,12/31/2024,341210.71,Stackable measuring cups made from stainless steel.
32,5002350338532084,Bert Conre,12/25/2024,29722.19,"A refreshing salad with chickpeas, cucumber, tomatoes, and a light vinaigrette dressing."
33,3536759243964481,Kori Ector,12/12/2024,493580.39,"Spicy black bean burgers, great on the grill."
34,3587671379627394,Hallie Semkins,4/29/2025,197176.85,"Pure and natural honey, great for sweetening."
35,371506050418570,Gerard Gwyer,8/27/2024,894945.37,"Fresh thyme, perfect for seasoning dishes."
36,3555879077136190,Bourke Joysey,1/17/2025,411492.88,A rich sauce perfect for pasta or drizzling over vegetables.
37,560222062009903118,Wenona Conelly,5/30/2024,33369.17,"Tangy feta cheese, perfect for salads and sandwiches."
38,4917955566887922,Chet Bellino,9/13/2024,183536.94,Rich and creamy smoked Gouda cheese perfect for snacking.
39,6371869286936147,Barty Simnell,7/13/2024,505387.68,"Freshly baked whole wheat bread, rich in fiber."
40,201894433410001,Fleming Yirrell,8/21/2024,512933.41,Make delicious ice cream at home with this user-friendly machine.
41,3532268814785774,Kessiah Franchioni,5/29/2024,263288.89,Handmade eco-friendly bowls made from real coconuts.
42,30516647468387,Paulita Provest,8/30/2024,120580.57,Heavy-duty scissors for crafting and office use.
43,4917689309099483,Adolpho Crennell,11/20/2024,441613.88,Functional leggings designed for maximum comfort during workouts.
44,201749183466696,Janelle Cuesta,8/18/2024,235469.01,"Crunchy granola mixed with maple syrup and cinnamon, perfect for breakfast or snacks."
45,5340274726609109,Basilio Hamshar,3/14/2025,307647.03,Rechargeable training collar for effective behavior training.
46,4017956574597130,Stefano Facer,4/15/2025,612447.26,"Frozen berries blend perfect for smoothies, just add yogurt."
47,3538034674318187,Nevil Edlyne,1/3/2025,391622.25,Portable case to organize and protect jewelry on trips.
48,3589341827693046,Durant Weeden,2/20/2025,813402.08,Versatile multi-tool with 15 different functions.
49,3587899081472540,Emory Jurkiewicz,3/2/2025,894001.37,Inspiring cookbook with healthy recipes.
50,201959988846196,Cathi Burborough,8/26/2024,689989.56,Comprehensive first aid kit for home and travel.
51,3580029704862839,Lilyan Rushbrook,8/6/2024,668981.59,Tripod with wireless remote for effortless photo-taking.
52,5382758563750256,Kassi Skoggings,4/2/2025,94896.12,Nutritious organic quinoa for salads or sides
53,201763087983722,Joela Perryn,8/14/2024,3793.71,"Sweet and gooey cinnamon rolls, ready to bake."
54,3537170135167283,Maura Basillon,8/2/2024,964737.2,Durable cable for connecting devices with high-definition video.
55,3585405261023715,Kayle Huttley,4/28/2025,725513.9,Durable gardening gloves with reinforced fingertips.
56,374622874538878,Belita Bullas,7/4/2024,318114.74,"Frozen berries blend perfect for smoothies, just add yogurt."
57,5602216785047187,Rock Martinon,3/5/2025,100432.55,Fun gardening tools designed specifically for kids.
58,3560757205637888,Julianne Braidman,11/25/2024,155432.61,"Multi-function pressure cooker that can sauté, steam, and slow cook."
59,3556073247344905,Gradeigh Wasielewski,5/5/2025,642121.45,Sweet and tangy raspberry lime beverage
60,5100133917061035,Mandy Billiard,4/21/2025,131013.62,Adjustable laptop stand for better ergonomics.
61,63046990726366384,Samara Ubee,6/28/2024,148583.03,Frozen smoothie mix with bananas and peanut butter for a quick drink.
62,30563129639648,Mercy Ferrant,9/3/2024,241330.2,Spicy and flavorful curry paste for authentic Thai dishes.
63,3549233198051012,Elayne Weinberg,9/20/2024,865272.29,"No-bake energy balls made with oats, chocolate chips, and honey."
64,3533737315938404,Gearalt Kendred,3/28/2025,840486.81,Quick boiling kettle for small kitchens and dorms.
65,3579408747388049,Thornie Smallwood,1/21/2025,109436.33,DIY kit to make your own elderberry syrup.
66,201928599811691,Britte Jedras,12/11/2024,192664.14,Juicy and tender boneless chicken breasts.
67,201645368390737,Georgina Garwell,12/30/2024,549517.37,A trendy oversized denim shirt perfect for layering.
68,201646058938934,Morgana Cadman,8/20/2024,299391.1,"Crunchy granola with toasted coconut flakes, perfect for breakfast or snacks."
69,3538066378640532,Kathi Naptine,3/30/2025,182774.2,Lightweight and durable hammock for relaxing in nature.
70,3567749200929512,Buddy O'Crigan,2/12/2025,630067.71,"Fresh Brussels sprouts, great for roasting or steaming."
71,6391249972833476,Nanon Hume,5/25/2024,887941.43,Set of two yoga blocks for increased stability and support.
72,377153361513809,Davina Blewis,4/19/2025,524844.93,Eco-friendly charger that uses solar energy for powering devices.
73,5108757152510819,Homerus Coon,1/23/2025,308275.48,Relax and soothe tired feet with this foot spa.
74,6761028866356956,Concordia Tunniclisse,5/20/2024,36861.36,"Wide egg noodles, perfect for casseroles and soups."
75,5602220867688728,Nomi Wiszniewski,6/16/2024,5670.02,Sustainable foam blocks for yoga practice.
76,342777044213908,Jakob Harries,7/22/2024,477189.77,"Fresh button mushrooms, great for cooking."
77,3532739221179041,Rianon Acaster,5/12/2024,371923.26,Timeless black trousers for a smart and sophisticated look.
78,6761156034691769378,Dene Padley,3/29/2025,483169.33,Soft and cozy bathrobe perfect for relaxing at home.
79,3540686010153861,Lezley Blackader,4/13/2025,286561.73,Savory soup made with leeks and potatoes.
80,201517001442847,Ermentrude Roscow,3/24/2025,552218.58,"Rich and creamy ice cream, available in various flavors."
81,3578487231880860,Harlene Gergler,1/3/2025,51774.81,Eco-friendly phone case designed to decompose safely.
82,5602253655861736,Giana Nealey,10/13/2024,855431.64,Handy belt for carrying garden tools while working.
83,30099470787793,Harri Dimelow,4/23/2025,478465.79,"A delicious savory quinoa pudding, great as a side dish."
84,5518551082082328,Doris Glassopp,2/13/2025,779729.2,"Tender sweet corn kernels, ready to eat or add to dishes."
85,3569271764281188,Constanta Fransemai,6/2/2024,200124.41,"Soft and fluffy whole wheat pita bread, great for wraps."
86,4017957412022372,Traver McCurdy,5/10/2025,142793.73,Crunchy granola with almonds and coconut.
87,3546478032495916,Breena Cordell,6/13/2024,920006.26,Compact charcoal grill perfect for tailgating.
88,5100149887330556,Staffard Hedworth,7/13/2024,374863.17,"Continuous stream of fresh water for pets, promoting hydration."
89,374283786591875,Tibold Waszczykowski,8/21/2024,469800.83,Sweet and tangy jam made from natural apricots.
90,3580256419562442,Nara Brokenshaw,4/21/2025,790028.42,Lightweight and slim monitor ideal for dual-screen setups.
91,30310549450358,Stefa Humfrey,12/1/2024,856647.92,Set of ceramic knives for precision slicing.
92,374283770160562,Etta McCromley,11/16/2024,867801.57,Tool for measuring perfect pasta portions every time.
93,3583879315832341,Carrol Oldershaw,8/1/2024,643573.14,Stylish wall art to enhance home decor.
94,3566766684196898,Alie Readmire,5/5/2025,935143.59,Eco-friendly phone case designed to decompose safely.
95,5602237232468606373,Elle Alekseev,4/25/2025,33380.34,"Crunchy granola with chocolate and coconut, great for breakfast or snacks."
96,5569764718774030,Douglass Errey,7/24/2024,438565.58,Multi-functional tool for emergency situations in the car.
97,5602249738802424,Timoteo Gowling,6/20/2024,46124.12,Stylish faux leather leggings for a trendy outfit.
98,4508761375049620,Engracia Pimlott,5/27/2024,228032.15,"Fresh button mushrooms, great for cooking."
99,3580993531370946,Lief Shone,10/14/2024,472754.35,A refreshing sparkling beverage with a bold blood orange flavor.
100,3535343307088924,Kerby Vairow,5/17/2024,443712.08,Cozy cable knit cardigan to layer during chilly evenings.
101,3580886683218519,Stefan McPhee,4/16/2025,484496.02,"Fresh, creamy avocados ideal for salads and guacamole."
102,3556726771703222,Modesta Tapscott,12/2/2024,146078.55,Frozen chicken wings with garlic parmesan sauce.
103,3532835727017352,Kellina McPhilip,4/10/2025,905339.25,Stylish and functional backpack for school or trips.
104,201972927427895,Hurleigh Field,3/11/2025,501808.16,Sweet and tangy honey mustard dip for snacks.
105,633110835288830973,Frederich Yetton,10/19/2024,582418.26,Quote wall art to inspire and motivate.
106,3547068412900699,Massimo Kilby,7/12/2024,348640.78,Marinated chicken skewers infused with traditional tandoori spices.
107,30430155065330,Kat Adderley,2/3/2025,470537.15,A fashion-forward bomber jacket to elevate your casual looks.
108,3551305834139933,Kimberlyn Syne,9/23/2024,403742.21,Tender ribs smothered in a honey barbecue sauce.
109,5593469805492666,Avivah Binnie,2/4/2025,782778.99,Spicy and smoky sausage great for grilling.
110,201963034600953,Vivie Ventam,2/1/2025,215961.92,Comfortable support brace to relieve wrist pain.
111,30300039488976,Jerrie Adenet,8/10/2024,670002.47,Eco-friendly meal prep containers for healthy eating.
112,3568028438439480,Anthe Kitter,1/3/2025,136621.84,"Fresh and organic sweet potatoes, ideal for roasting."
113,30224508288263,Dela Pfeffle,5/18/2024,505038.2,"Stylish leather ankle boots with a block heel, perfect for fall styling."
114,3581392728270531,Kahlil Leale,8/3/2024,185482.02,"Creamy ricotta cheese, great for cooking or making desserts."
115,3581558165519347,Skell Tompkins,7/17/2024,198559.89,Mixed fresh vegetables for stir-frying or roasting.
116,3550737572124340,Honor Damsell,8/12/2024,43906.12,Countertop compost bin for kitchen waste.
117,4936349837091798302,Joice Allmann,12/6/2024,901589.83,"Fudgy brownie bites, perfect for sharing or snacking."
118,4476419720832,Alex Morstatt,1/18/2025,780525.53,Custom keychain with engraved text.
119,3573286885849212,Pascal Humby,8/6/2024,91808.39,Automatic water fountain for pets with filtration.
120,201417965773404,Allianora Daley,9/26/2024,883123.68,Savory popcorn flavored with maple syrup and bacon bits.
121,3556831751629858,Janeen Blackney,3/28/2025,728055.07,Flavorful dressing made with miso paste
122,4405876453353233,Franny Lawdham,10/11/2024,139883.53,A delicious tart filled with fresh raspberry filling.
123,3550641351843874,Gabriello Ragg,5/27/2024,171159.15,Adjustable stand for portable speakers and devices.
124,3567042511068869,Fredi Roizin,9/17/2024,922024.72,Elevate your outfit with this sophisticated velvet blazer.
125,564182355416227075,Kasey Kyttor,7/29/2024,722145.59,Nutritious chia seeds great for smoothies
126,5602243312711697,Mortimer Butner,1/20/2025,560337.12,Durable and versatile backpack for outdoor and travel use.
127,3586633060629817,Putnam Gibke,2/23/2025,271450.89,"Juicy peach slices in syrup, perfect for desserts."
128,3580366381228987,Niki Challens,4/8/2025,939099.93,Cold pasta salad tossed with pesto and fresh vegetables.
129,371469106582727,Tessy Tomasicchio,3/6/2025,324589.12,Instant oatmeal cups with blueberries for an easy breakfast.
130,6393700173531002,Matthieu Hartnell,7/23/2024,675053.77,Engaging kit with science experiments for children.
131,4508976847642394,Elwyn Reading,3/19/2025,262376.07,Quick and easy fried rice mixed with vegetables and soy sauce.
132,4017953841087,Raviv Reuter,11/9/2024,504057.6,Durable 50-foot garden hose with nozzle.
133,3530590449801375,Jaynell Tuvey,10/9/2024,450981.78,"All-in-one meal kit including pasta, meatballs, and sauce for a quick dinner."
134,5020413382052313497,Yolanthe Duchant,3/28/2025,794473.9,"Crunchy granola mixed with maple syrup and cinnamon, perfect for breakfast or snacks."
135,30579359484729,Dennie Bayldon,8/2/2024,491065.85,"Tangy goat cheese infused with herbs, perfect for snacking."
136,3542454674551773,Shandy Ashall,10/9/2024,135508.27,"Refreshing dressing made with avocado and lime, perfect for salads."
137,5108751799395767,Chanda Rechert,9/14/2024,591534.63,Cozy beanie hat to keep your head warm in the cold.
138,50203413044859382,Cliff Sutliff,10/24/2024,805037.51,True wireless earbuds with excellent sound quality.
139,5602257368624489,Wynn Marlowe,6/23/2024,820412.04,"A natural sweetener made from coconut sap, a healthier alternative to sugar."
140,3579279359640807,Anatollo Windless,4/16/2025,880388.34,"Juicy chicken breast stuffed with spinach and feta cheese, seasoned to perfection."
141,201840103295867,Fonsie Sterrie,2/5/2025,213964.87,Crunchy pretzel sticks made with honey and whole wheat.
142,3535384753667787,Leelah Taffurelli,5/4/2025,662911.14,Reusable whiteboard for notes and reminders with magnetic backing.
143,374283932210958,Odette Howlings,4/3/2025,110848.39,"Tangy sour cream, perfect for dips and toppings."
144,3533658073896362,Aloin Carhart,1/2/2025,993393.78,Wearable device to track fitness activities and heart rate.
145,347495259112435,Livvyy Kertess,10/5/2024,563413.94,Convenient electric screwdriver for DIY projects at home.
146,201765569515906,Aksel Ellery,8/18/2024,492036.74,Freshly roasted coffee beans with rich flavor.
147,3531471790328996,Diane Janoch,10/27/2024,880307.48,Handy keychain that emits a loud alarm for personal safety.
148,3531126700465334,Missy Tomkowicz,6/13/2024,823563.0,Energy-efficient LED bulbs that can be controlled via smartphone.
149,4913144362215406,Cathrine Lamborne,4/30/2025,975189.86,Complete set of cooking utensils made from bamboo.
150,4175002298185874,Trude Sapsford,6/13/2024,563839.62,Hearty tomato soup made from organic ingredients.
151,493635951122850948,Kristopher MacAskie,3/20/2025,571248.08,String lights for decorating holiday trees.
152,3535431449985022,Raddie Arkil,11/8/2024,56405.74,Set of reusable stainless steel straws for drinks.
153,67094129893007438,Kristos Fernandes,4/20/2025,357428.25,Compact travel organizer for accessories and toiletries.
154,6304055548316988098,Licha Sarl,9/4/2024,812833.98,Make delicious ice cream at home with this user-friendly machine.
155,3565625409423964,Gertrudis Paolini,10/19/2024,616935.05,Eco-friendly bamboo cutting board for food prep.
156,3572454492230884,Alexandros Vaughn,8/8/2024,628543.92,A sweet and spicy sauce ideal for spring rolls or chicken nuggets.
157,630410735606048337,Marleen Hundal,4/2/2025,930788.08,A convenient meal kit for making a delicious beef taco skillet at home.
158,3585036341193531,Brand Osgar,5/7/2025,801928.49,Gluten-free biscuits made with almond flour.
159,3547758022499294,Merlina Laister,6/16/2024,765350.67,Hard-shell case for protecting sunglasses.
160,3553061207857431,Diane Baudin,6/14/2024,339010.9,Adjustable window blinds for privacy and light control.
161,4785046896872666,Leoine Borles,7/21/2024,987527.69,Crunchy granola mixed with coconut flakes.
