id,nomor_rekening,nama_lengkap,tanggal_transaksi,jumlah_kredit,keterangan
1,4905451794597414000,Town Barents,1/15/2025,60927.69,Nutty and wholesome brown rice.
2,4917460920490497,Liesa Pranger,8/2/2024,13577.8,Space-efficient shoe rack to keep entryways organized.
3,676239778408581461,Guilbert Brunsdon,12/2/2024,376149.54,Nutritious organic quinoa for salads or sides
4,3586507923470173,Elias Look,2/4/2025,114951.27,"Delicate ravioli filled with roasted butternut squash and spices, perfect with a sage butter sauce."
5,5173380149142974,Stacee Winsiowiecki,11/28/2024,98136.49,Stylish watering can for plants with easy pouring nozzle.
6,3587615688654995,Leona Brittlebank,7/11/2024,388298.71,Comprehensive tool set for gardening enthusiasts.
7,5602245167019795,Giana Muldrew,8/10/2024,335217.38,Personalize your calendar with photos and special dates.
8,3589725222647633,Arabele Howison,6/6/2024,799303.65,Protects car interior from sun damage and heat.
9,3574162884216738,Kora Fassum,6/14/2024,167408.73,Compact pump ideal for inflating sports equipment or rafts.
10,3558466223793384,Kayla Feehan,3/27/2025,331173.78,Hanging bird feeder for backyard birds.
11,3536978194563288,Mitchael Oblein,11/15/2024,50171.86,Stream HD video wirelessly to your TV.
12,3565661343274528,Yehudi Santacrole,12/2/2024,188695.77,Comfortable slim fit chinos for a polished look.
13,3541087874549196,Wendel Marner,7/18/2024,71582.29,"Sweet dried raisins, perfect for snacks or baking."
14,5007665458819044,Guglielmo Kauscher,8/22/2024,730899.49,Fun tabletop air hockey for home or office.
15,5602253812839369,Nathan Antoinet,3/13/2025,43050.02,Spicy and tangy chili sauce for adding heat to any dish.
16,5010124384170523,Aurore Massy,4/12/2025,409675.08,Comfortable trainers with mesh inserts for breathability.
17,560222762697356848,Isabel Brunet,8/6/2024,835527.76,Leak-proof bottles for travel-sized toiletries.
18,56022406715929621,Eli Weiner,6/24/2024,221677.36,Durable pet leash with comfortable handle.
19,3568644547747884,Fons Loade,11/20/2024,153369.26,"A frozen cheesy bake made with cauliflower, great as a side dish or a vegetarian meal."
20,3563753397949378,Salvidor Gilstin,11/16/2024,655407.01,Delicious cookies flavored with pumpkin and spices.
21,5610069015714716,Sheila-kathryn Muzzall,6/25/2024,200693.46,"Fluffy and delicious pancake mix, perfect for a gluten-free breakfast."
22,3539455462370446,Annetta Eudall,7/9/2024,301810.09,Convenient magnetic jars for easy spice storage.
23,3582389401500506,Silas Livermore,4/21/2025,527210.7,"Crunchy granola made with oats, almonds, and coconut flakes."
24,4508306712580844,Barthel Tocher,10/26/2024,495659.62,"Sustainable tank top made of bamboo cotton, offering breathability and comfort."
25,0604433271283189,Lydia Breakspear,3/2/2025,968393.95,Lightweight bike helmet with adjustable fit.
26,3551798397793700,Gilbertine Reyes,5/14/2024,348506.39,Complete grooming kit for dogs and cats.
27,30168641012256,Lottie Hutchason,6/14/2024,897515.56,Sleek wireless charging pad for smartphones.
28,3538993749028313,Mitchell Ney,6/25/2024,983560.76,Set of elegant wine glasses for special occasions.
29,4041590862215,Orazio Newitt,5/7/2025,643803.87,Control your lights remotely with a smartphone app.
30,3579318644429483,Arv Potten,1/24/2025,983874.57,A blend of mixed nuts for snacking.
31,36118163065053,Sheffie Sutty,9/12/2024,756232.48,"Wild-caught tuna in olive oil, perfect for salads."
32,343246836414396,Cyndi Scrange,6/6/2024,898377.87,Delicious cookies with cranberries and almonds in every bite.
33,3559484421762068,Richart Giacomello,2/8/2025,157061.6,Ideal for creating custom designs on t-shirts and fabrics.
34,490301747464461172,Angie Sinney,3/31/2025,88070.8,A healthy mix of assorted dried fruits and nuts for snacking.
35,4175005379355621,Elonore Kaesmans,1/5/2025,497236.79,Just add water for delicious brownies.
36,337941162211683,Lyman Guiraud,10/13/2024,458331.26,Comfortable slide sandals for lounging by the pool.
37,4844368019715211,Grove Philbrick,4/30/2025,299489.35,UV sanitizer that kills germs on your smartphone.
38,3574706706113497,Sibley Standeven,8/9/2024,910457.14,A soothing herbal tea made from ginger root.
39,6377537226160318,Amy Piechnik,3/10/2025,865538.58,"Homemade jam made with blueberries and chia seeds, no added sugar."
40,3529775499696105,Theodore Gapper,7/16/2024,693958.83,Variety pack of craft supplies for kids' projects.
41,30410104330985,Pen Pinnick,7/13/2024,284432.11,Crisp and delicious organic apples.
42,3540459928098341,Rodrick Dainton,5/4/2025,362855.94,Freshly ground cinnamon spice for baking or seasoning.
43,3548644611019801,Latisha Cawsy,2/26/2025,997457.23,Shredded cabbage and carrots for coleslaw.
44,3562734686178771,Doloritas Jimes,5/25/2024,826450.53,"Rich coconut milk, great for cooking and baking."
45,30014414286943,Clemens O'Doireidh,10/9/2024,854015.67,Just add water for delicious brownies.
46,6706784271058716668,Derrek Kilmary,11/5/2024,911965.36,"A refreshing drink mix that combines sweet raspberries and tart lemons, perfect for summer."
47,56104603311882110,Gunilla Oxtaby,7/22/2024,261438.12,Multi-function rice cooker for all types of rice recipes.
48,3547133501274503,Joshuah Howey,10/5/2024,920897.24,"Fresh zucchini, versatile for grilling or sautéing."
49,3542265811789955,Josey Fanner,3/30/2025,555528.95,Rich and flavorful tomato sauce for pasta or pizza.
50,30417499124865,Wallis Trask,7/18/2024,968788.69,"Shrimp marinated in a honey garlic sauce, ready to cook."
51,5602226135268227,Wendall Charlson,11/11/2024,17376.81,"Gluten-free almond flour, perfect for baking."
52,3572505982932238,Silvano Trundle,12/18/2024,10989.17,Protects car interior from sun damage and heat.
53,3573110230819508,Ulrikaumeko Cosslett,4/24/2025,716620.8,Creamy honey mustard sauce for dipping or dressing.
54,3553426439693104,Moyna Chitson,5/4/2025,642118.65,Handheld frother for creating frothed milk for coffee.
55,3548865551960486,Kathy Ayerst,2/12/2025,306944.54,Crispy breadsticks seasoned with herbs and garlic.
56,5100179420439119,Kristyn McGilmartin,8/22/2024,446909.73,Comfy pet bed with washable cover for easy cleaning.
57,3545908973993884,Rosina Stathor,8/29/2024,272626.34,A delicious chicken dish featuring honey and sesame flavors.
58,3538663109440602,Nickolaus Liverock,11/8/2024,512555.83,Healthy granola made with oats and honey.
59,3589380147460595,Meryl Geraudy,6/12/2024,851281.95,Natural elderberry syrup to boost immunity.
