id,nomor_rekening,nama_lengkap,tanggal_transaksi,jumlah_debit,keterangan
1,5100136632574133,Shaine Van Geffen,7/4/2024,495495.81,"Refreshing tea with honey and lemon flavor, perfect for a warm drink."
2,6759785355844578,Aurelea Castane,11/26/2024,55676.83,Convenient charging stand for smartphones and devices.
3,3569858481184941,Fawnia McDowall,5/6/2025,532422.27,Refreshing juice blend made with various fresh fruits.
4,3577162003659799,Edmund Phillis,4/2/2025,124276.75,A feminine wrap top with a beautiful floral print.
5,6762259284398622,Kennett Wash,3/24/2025,356650.51,Portable fire pit for backyard gatherings.
6,4041371691940,Gena Warrilow,11/22/2024,965199.83,"Hearty chili made with beans and vegetables, a savory meal option."
7,3564713581768777,Felicle Dreakin,3/14/2025,318113.37,Sweet and spicy salsa made with fresh peaches.
8,3587065036772307,Steffi Martusov,7/13/2024,418332.59,"Soft and comfortable robe, perfect for lounging at home."
9,30232770176314,Wanda Mourant,8/29/2024,183880.16,"Roasted pistachios, a healthy and tasty snack."
10,3570768630413637,Milo Webber,1/13/2025,18394.68,Relax and soothe tired feet with this foot spa.
11,201973546108056,Winni Stych,12/7/2024,678585.86,Set of unique wooden coasters for drinks and decor.
12,3541781593839165,Barbaraanne Maulkin,12/8/2024,119198.34,Set of stylish watch bands to customize your look.
13,3540013080475977,Rafa Rolston,3/9/2025,777810.0,DIY kit to convert your smartphone into a mini projector.
14,201757290072950,Afton Behagg,11/15/2024,308390.46,"Crispy sweet potato bites, delicious as a side or snack."
15,6771003588395747,Darcie McMorran,10/31/2024,681197.99,"A mix of grilled vegetables, ready to heat for quick side dishes."
16,3529287525721881,Joscelin Measham,12/12/2024,584464.6,Rechargeable electric toothbrush with smart timer.
17,371436520165611,Pammy Cockran,10/27/2024,952568.35,Rich cocoa powder for baking and chocolate recipes.
18,564182728368157278,Cad Passion,3/21/2025,72878.53,"Crunchy granola with chocolate and coconut, great for breakfast or snacks."
19,5448497712485595,Keane Coppeard,5/22/2024,525635.16,A colorful printed maxi skirt for a bohemian look.
20,3543301561899832,Aylmer Dummigan,1/23/2025,462968.94,Safe and fun trampoline for children.
21,3585297962673892,Thaddus Magner,11/30/2024,396193.62,7-in-1 multi-cooker for versatile cooking.
22,3549404565286479,Jamil Dudman,2/25/2025,558766.1,A tangy and spicy BBQ sauce that's perfect for grilling.
23,5100173039085173,Morten Leech,12/10/2024,207743.08,Electric foot massager for relaxation and relief.
24,3585316298339034,Conrado Bartleet,7/10/2024,110350.04,Light and crunchy rice cakes with a variety of flavors.
25,6771580915833309799,Ronna Seel,2/10/2025,518952.6,Savory roasted garlic in a jar for easy use.
26,3551805647859015,Maxy Jeste,8/24/2024,698938.82,Finely ground almonds for baking or cooking
27,30027389606093,Albie Crasswell,12/7/2024,393211.66,A blend of peach and mango for a tropical smoothie.
28,30034740700318,Whitby Steiner,4/8/2025,155825.17,Lightweight and portable folding table for camping or picnics.
29,4684717547447692,Cris Delbergue,3/17/2025,200860.98,Soft cotton pajama set for cozy nights in.
30,3555704905387759,Bernette Langmead,9/7/2024,297964.04,A rich coconut curry sauce perfect for simmering vegetables or meats.
31,3551547250628879,Ana Schruurs,5/30/2024,166898.44,"Fresh fruit salad, ready to eat and refreshing."
32,3569650922306229,Salomon Krolak,10/4/2024,852445.57,Complete watercolor set with paints and brushes.
33,5100178784737506,Ab Kirkham,5/25/2024,624536.77,"A whole free-range chicken, ready for roasting."
34,6398155401360960,Ted Gecke,1/9/2025,306454.13,Complete set for mixing cocktails at home.
35,6376050166491504,Tanhya Diggens,4/13/2025,978896.58,Compact alarm for personal safety and security.
36,56022188789771564,Aluin Tremayle,6/10/2024,145964.37,"A blend of dried fruits and nuts, great for snacking."
37,5048371740005226,Elsbeth Grigoryev,10/3/2024,752537.5,"Frozen salmon fillets marinated in teriyaki sauce, ready to grill or bake."
38,3528056723875216,Ursulina McHaffy,12/6/2024,526351.37,"Frozen shrimp seasoned with chili and lime, perfect for quick dinners."
39,4886912462380897,Cati Zohrer,12/26/2024,163168.58,Ergonomic monitor stand for improved workspace organization.
40,374288179170005,Lazare Alekseicik,4/15/2025,702179.25,"Assorted sliced cheese, perfect for sandwiches."
41,6759039913053821,Matti Luckes,11/8/2024,479798.51,Leak-proof cooler bag ideal for picnics and camping.
42,5048375203641575,Judye Sieve,1/18/2025,234810.84,Eco-friendly bamboo toothbrush for sustainable living.
43,3576369402229972,Dacey Whannel,1/15/2025,504510.88,Compact alarm for personal safety and security.
44,3586405406346707,Ginger Kenworthey,3/8/2025,712596.67,Cozy beanie hat to keep your head warm in the cold.
45,5598977998638569,Yasmin Colicot,3/8/2025,33991.08,Ultrasonic essential oil diffuser with LED lights.
46,3551731907165432,Hortensia Mor,5/17/2024,389284.4,"Wide range of flavored wings, perfect for parties or casual snacking."
47,36708084325451,Margarethe Swaden,5/29/2024,132984.13,"Chilled noodles dressed in sesame sauce, ready to eat."
48,3545470348136574,Garv Farrears,12/30/2024,388914.13,Sweetened powder for refreshing lemonade.
49,3560866923902142,Miguela Jeacop,7/23/2024,517251.48,Heavy-duty rake with adjustable width for different gardening needs.
50,201834031336851,Chrysa Waite,5/1/2025,920376.51,Whole grain oats that are perfect for breakfast or baking.
51,3566239015125796,Marilyn Stroyan,9/25/2024,712188.42,Tofu stir-fried with fresh vegetables in teriyaki sauce.
52,4175009603860109,Davey Tessington,1/6/2025,758046.0,Ready-to-bake cinnamon roll dough for easy breakfasts.
53,337941802338060,Salomone Kaminski,4/3/2025,414415.4,"Rich tart filled with chocolate and raspberry, a gourmet dessert."
54,3533050241293047,Betteanne Cleveland,9/5/2024,67405.46,Battery-operated air purifier for small spaces.
55,4917226930222893,Cristal Roglieri,6/19/2024,84683.94,Compact sewing kit for travel emergencies.
56,3550140001310301,Inness Arends,3/29/2025,923093.92,"A delicious savory quinoa pudding, great as a side dish."
57,3560319168761344,Stanton Fidelli,3/31/2025,520549.13,Protective goggles for DIY and construction work.
58,3576517450531695,Pall Hallows,2/28/2025,837817.41,3D model puzzle kit for creative builders.
59,3542434623900693,Alika Durban,6/16/2024,185137.26,Cook rice and steam vegetables simultaneously for healthy meals.
60,5610638486135351,Aurlie Williamson,3/28/2025,915413.8,Decadent tart made with rich dark chocolate.
61,4041374528638028,Corby Durban,1/21/2025,493547.97,Reusable microfiber cloths for environmentally friendly cleaning.
62,3553841593083688,Steffi Pelzer,6/7/2024,945820.51,"Refreshing apple juice, 100% juice with no added sugar."
63,3540024450882080,Mace Huyton,7/10/2024,388623.0,Lightweight and portable swing hammock for relaxing outdoors.
64,491197293399028336,Aldis Fricke,1/7/2025,324633.94,"A mix of grilled vegetables, ready to heat for quick side dishes."
65,36734908365325,Gleda Blockley,10/28/2024,718485.98,A warm and stylish puffer coat perfect for winter weather.
66,4903507828744718,Alverta Fullwood,3/27/2025,233001.59,Beginner-friendly acoustic guitar with natural finish.
67,3566729189013075,Culver Ida,3/15/2025,682455.71,"Marinated shrimp in a garlic and lemon sauce, perfect for grilling."
68,201904474881125,Roseline Ferrucci,4/11/2025,48133.31,A warming blend of ginger and turmeric for lattes.
69,3563311026856660,Arron Joanaud,12/2/2024,28224.94,"Crispy and juicy chicken tenders, perfect for dipping."
70,3563194435547041,Panchito Shallo,11/18/2024,296457.23,Warm oatmeal flavored with apple and cinnamon.
71,3564856617268492,Eward Giblett,9/18/2024,591575.43,Crispy chicken nuggets for quick meals.
72,5479731907478201,Emeline Lismer,6/4/2024,803281.99,Ready-to-eat chicken bowl with teriyaki sauce and rice.
73,633445706444632494,Leigh Arnau,7/7/2024,223300.35,Ergonomic wireless controller for gaming consoles.
74,6304490355701199999,Jessamine O'Shiel,3/7/2025,810282.67,Cute dispenser for bathrooms or kitchens featuring paw prints.
75,5100137344218878,Melanie Bovaird,12/26/2024,806305.14,A hearty vegetable curry for a quick and satisfying meal.
76,5108757190269675,Corene Shimmings,4/18/2025,772821.31,Complete set designed for children to learn gardening.
77,5433987378464592,Addy Moxon,7/30/2024,65943.74,Stylish wine rack to store and display bottles.
78,589336718419805720,Arline Sollner,9/10/2024,125202.1,Fresh sliced strawberries for toppings or snacking
79,30580211123158,Pauletta Whitlock,10/14/2024,1475.0,Effective roller for removing pet hair from furniture.
80,3581685122329773,Tessy Keddie,1/10/2025,671715.29,Set of flexible molds for baking cakes and pastries.
81,3535311035978005,Marcile Aland,4/13/2025,434642.5,"A blend of nuts, seeds, and spices for a healthy snack."
82,3556891328644558,Clarey Gallehock,1/28/2025,184290.07,Color-changing 3D night light for kids' rooms.
83,201610348952147,Lidia Dingle,9/1/2024,667794.13,Flexible tray for easy-release ice cubes.
84,6331106899454259350,Clotilda Brea,10/31/2024,243894.94,Eco-friendly string lights for outdoor decor.
85,3554682045302451,Jordan Meuse,12/20/2024,739752.05,Supportive pillow designed for a good night's sleep.
86,3564082142424944,Sharlene Koeppke,12/27/2024,572965.29,"Canned chickpeas, perfect for hummus or salads."
87,3577707253210766,Fleur Domini,8/18/2024,683990.91,"Dairy-free ice cream made with coconut milk, creamy and delicious."
88,3568440730341829,Tadeo Norvel,4/12/2025,407751.58,Make delicious waffles with this user-friendly device.
89,4041371262429,Corty Lackmann,12/14/2024,279427.62,"Spicy black bean burgers, great on the grill."
90,4389980114988310,Reagen Senussi,5/25/2024,484306.95,"A flavorful garlic butter blend, perfect for cooking or baking."
91,3531438261509263,Dominga Jerzykiewicz,11/13/2024,756380.17,Twisted pasta perfect for salads and pasta dishes.
92,060469980864152492,Stacey Corking,5/9/2025,642818.73,DIY LED strip lights with remote control.
93,3589782032629715,Eolanda Barts,10/20/2024,322845.97,Tangy and crunchy dill pickles.
94,3585662948921477,Dinah Narramor,11/14/2024,248038.41,Peel and stick wallpaper for easy home decor changes.
95,3589888572096684,Padriac O'Kerin,10/26/2024,690237.34,Fiery hot sauce made with fresh habaneros and spices.
96,3547332734139331,Sofia Smewings,5/22/2024,714459.04,Classic leather photo album for keepsakes.
97,5002351392847491,Horton Loade,12/30/2024,305587.34,Durable bag for carrying your yoga mat and accessories.
98,6383449341609397,Colette Paulot,10/9/2024,374820.1,Spicy chili powder to add heat to dishes.
99,5602245528177746,Clerissa Gherardi,1/24/2025,679083.7,"A refreshing drink mix that combines sweet raspberries and tart lemons, perfect for summer."
100,630457281559672009,Morgen Huxtable,12/6/2024,423738.64,Foldable reclining camping chair with cup holder.
101,30517754232178,Barry Ralls,7/24/2024,802531.7,Nutritious and hearty pasta made from whole wheat flour.
102,633110901697900086,Noam Shenfisch,8/5/2024,581049.11,Comprehensive emergency kit for roadside assistance.
103,5216366331696587,Vi Sall,7/11/2024,634475.22,Double-sided art easel for painting and drawing.
104,4175009393381662,Page Ponceford,12/18/2024,662446.61,Challenging and fun puzzle game for all ages.
105,5602220081161759,Judi Phear,2/14/2025,144392.08,Add a smoky flavor to your dishes.
106,3579175318120628,Garner MacGaughie,12/8/2024,68948.7,Easy-to-heat frozen burritos for a quick meal.
107,5641827451375995067,Marabel Codlin,9/22/2024,278110.81,Stylish wine rack to store and display bottles.
108,56022533179200866,Juana Garie,6/13/2024,281049.07,"Frozen onion rings, crispy and ready to bake."
109,50384346910076577,Barnard Baumadier,1/2/2025,953069.98,Chic wrap jumpsuit that flatters the body and is perfect for any occasion.
110,5430006300512775,Val Tennison,6/17/2024,597605.17,"Fresh pomegranate juice, rich in antioxidants."
111,50382498784678962,Tara Skeech,11/15/2024,718321.43,Handy keychain that emits a loud alarm for personal safety.
112,3582799646664471,Jenna Jozaitis,9/12/2024,697468.12,Durable cable for connecting devices with high-definition video.
113,3579831823648657,Candra Fishe,11/13/2024,836890.5,Savory wraps with buffalo chicken and fresh vegetables.
114,3575580394910152,Christian Ciccottini,6/2/2024,729943.7,Gourmet potato skins loaded with cheddar cheese and bacon.
115,6399760659818889,Pattin Carus,8/23/2024,736667.74,A nutritious shake with rich chocolate and refreshing mint flavors.
