id,nomor_rekening,nama_lengkap,tanggal_transaksi,jumlah_kredit,keterangan
1,3565877904172519,Luci Krink,3/21/2025,794282.35,Vegetable spiralizer for healthy meals.
2,6304484405488375334,Morganica Falconbridge,5/14/2024,94851.68,Delicious apple sauce with a hint of cinnamon
3,5602253016784262,Ahmed Mateos,12/5/2024,891692.01,RFID-blocking slim wallet for cards and cash.
4,3572493646861814,Roseline Meekin,5/20/2024,262965.28,Stylish digital journaling app for notes and organizing tasks.
5,36428343602638,Jasmina Souley,8/23/2024,96910.01,"A sweet and spicy sauce, great for dipping or cooking."
6,3567524215623339,Henrik Scourge,3/7/2025,654254.98,Compact electronic drum kit for musicians of all levels.
7,3576471862369114,James Hasselby,3/28/2025,793976.0,"A hearty soup made with lentils, a variety of vegetables, and spices, ideal for a nutritious meal."
8,6374890371376590,Bebe Gosneye,4/4/2025,213880.51,Ergonomic office chair with lumbar support and adjustable height.
9,6304628354469000858,Chaunce Leitch,3/27/2025,5017.67,Warmer for heating baby bottles and food jars.
10,374288454833426,Barbara-anne Neiland,4/17/2025,197991.72,"Refreshing and tangy fermented tea, available in various flavors."
11,4041379239125199,Shannon Cromleholme,9/4/2024,376126.82,"Fresh Brussels sprouts, great for roasting or steaming."
12,3545659532946893,Rodolphe Arnao,7/14/2024,475066.72,"Artisan bread topped with olives, feta, and herbs, perfect for sharing."
13,3568704410260678,Freddie Dolphin,12/31/2024,864631.84,Beginner telescope for stargazing and exploring.
14,633110528424152812,Kimmie Westmarland,4/1/2025,949994.4,Flavorful chicken wings marinated in a sweet teriyaki glaze.
15,5048376426714074,Xerxes Wooster,3/29/2025,435648.17,A seasoning blend of garlic and herbs to enhance any dish.
16,3556655794245772,Suzanna Voisey,8/28/2024,520526.99,"Rich and flavorful chicken broth, great for soups."
17,3539070680436257,Netti Saben,8/27/2024,208196.85,"Crispy mini pretzels, a great snack any time of day."
18,4041591306873,Christa Limbrick,7/30/2024,581563.13,Fresh kale with Caesar dressing and croutons.
