id1,id2,tgl_transaksi,jumlah_debit,jumlah_kredit
1,3586494220604830,5/26/2004,156717.36,998505.15
2,3586494220604830,3/1/2012,831957.3,451042.92
3,3586494220604830,9/16/2015,600921.55,42713.03
4,3586494220604830,11/27/2001,515920.48,354274.19
5,3586494220604830,10/15/2002,151230.06,262405.69
6,3586494220604830,4/21/2010,929130.81,880354.19
7,3586494220604830,11/16/2008,142286.08,916167.23
8,3586494220604830,10/17/2019,648758.5,724627.16
9,3586494220604830,2/4/2015,525516.02,553068.83
10,3586494220604830,9/20/2017,531324.12,917921.06
11,3586494220604830,3/27/2003,941834.55,791933.6
12,3586494220604830,9/28/2014,372520.57,578138.13
13,3586494220604830,12/28/2017,612131.28,452320.9
14,3586494220604830,2/7/2009,318868.51,624100.36
15,3586494220604830,11/12/2000,118935.79,530394.55
16,3586494220604830,2/21/2016,280354.86,771806.54
17,3586494220604830,1/24/2021,215489.98,527703.88
18,3586494220604830,7/24/2001,943554.28,570986.04
19,3586494220604830,12/14/2000,797291.33,852135.82
20,3586494220604830,5/3/2012,371057.71,256139.92
21,3586494220604830,8/17/2007,105462.42,995338.52
22,3586494220604830,8/7/2022,294731.17,432881.99
23,3586494220604830,9/11/2021,226074.61,545698.63
24,3586494220604830,9/12/2011,592759.66,222868.03
25,3586494220604830,7/24/2006,255393.1,947361.76
26,3586494220604830,8/23/2017,135768.61,952955.21
27,3586494220604830,1/22/2008,300537.4,295388.84
28,3586494220604830,1/22/2005,692562.76,128088.17
29,3586494220604830,6/24/2009,81517.55,686848.96
30,3586494220604830,7/29/2014,452064.3,639520.9
31,3586494220604830,12/26/2020,144205.71,700197.69
32,3586494220604830,8/31/2019,975968.49,533862.17
33,3586494220604830,5/29/2015,214636.94,352540.67
34,3586494220604830,11/18/2022,943640.06,678269.13
35,3586494220604830,6/1/2004,135422.04,423831.74
36,3586494220604830,11/29/2017,750658.43,400120.75
37,3586494220604830,8/17/2001,954544.45,428214.06
38,3586494220604830,5/29/2016,559150.75,341134.37
39,3586494220604830,1/26/2009,820916.28,24077.44
40,3586494220604830,10/31/2002,176620.8,134834.0
41,3586494220604830,11/13/2015,904647.7,332552.87
42,3586494220604830,4/16/2018,211205.03,889870.93
43,3586494220604830,1/3/2017,524991.65,335766.25
44,3586494220604830,6/12/2004,595407.76,283237.56
45,3586494220604830,10/3/2000,917323.23,186810.87
46,3586494220604830,10/5/2009,875110.38,324355.29
47,3586494220604830,4/19/2012,123868.49,993402.85
