id,nomor_rekening,nama_lengkap,tanggal_transaksi,jumlah_debit,keterangan
1,3559055296435103,Cordy Jarrette,10/23/2024,522251.47,Special attachment for vacuum cleaners to remove pet hair easily.
2,5100138317093264,Dewey Smeaton,1/25/2025,812001.64,High-quality sketchbook for artists.
3,3556323508134960,Louisa Craig,7/5/2024,751745.15,Oatmeal made with savory spices and vegetables.
4,3554298664273202,Maighdiln McCurry,4/9/2025,807354.62,"Farm fresh eggs, essential for breakfast."
5,201805248223645,Annora Vickers,10/24/2024,460564.13,Portable solar shower for camping and outdoor use.
6,5602243215567092316,Monty Hannam,5/31/2024,559165.64,Timeless black trousers for a smart and sophisticated look.
7,5483077183310724,Constance Zotto,5/29/2024,760452.92,Timeless black trousers for a smart and sophisticated look.
8,490505566185248112,Justine Collopy,11/3/2024,512103.1,Heat-sensitive mug that changes color when filled with hot liquid.
9,5610585029064376,Jere Thickett,3/27/2025,842371.44,"Nutty, crunchy pecans great for baking."
10,4405543827974520,Danell Vasilyonok,12/6/2024,727149.71,Convenient feeder that adjusts to your pet's height.
11,5007666974596892,Dov Wigley,9/17/2024,170726.5,Wax warmer for creating a soothing atmosphere with fragrances.
12,5602245052509041,Shalne Jorczyk,1/5/2025,249065.42,Herbal tea bags made from dried hibiscus flowers.
13,5404326510686199,Averill Lunck,10/1/2024,658659.37,A blend of mixed nuts for snacking.
14,5610981886585035,Mariellen MacDirmid,3/23/2025,774360.31,Nutritious protein bars for on-the-go snacking.
15,3558552262355787,Ivar Uttley,11/11/2024,796269.16,A seasonal creamer that adds pumpkin spice flavor to coffee or tea.
16,3559683347061337,Germaine Eusden,9/16/2024,262626.25,Energy-efficient LED bulbs that can be controlled via smartphone.
17,3557999815808435,Nev Klimkin,5/2/2025,71968.37,"Seasonal pumpkin ice cream, perfect for fall."
18,5602252807481922,Dino Riddell,12/31/2024,760563.19,Set of decorative pillow covers to enhance your home decor.
19,30111028428349,Braden Stutely,10/22/2024,101265.61,Heavy-duty grill pan for indoor grilling.
20,6333270364855704278,Rodolph Roussel,12/16/2024,180432.43,Adjustable stand for smartphones and tablets.
21,3530518607540196,Ware Adelberg,8/30/2024,365992.02,Whole wheat wraps filled with spinach and feta cheese.
22,3579096674934156,Malvin Alessandrelli,11/29/2024,934947.34,Comfortable kneeling pad for gardening or home projects.
23,56022159294740972,Cirillo Widmoor,2/2/2025,635451.0,Laundry bags perfect for delicates and organizing clothes.
24,3552247784303805,Yvonne Westrip,7/30/2024,691828.23,Large stir fry pan with non-stick surface.
25,630441807636821224,See Berthel,4/23/2025,920537.69,Fun tourist magnets from around the world for your fridge.
26,3537616337994270,Cecil Charnick,10/29/2024,344367.88,Marinated chicken grilled with lemon and herbs.
27,3535938659559040,Louella Minihane,5/18/2024,770728.56,Stabilizing gimbal for smooth video recording.
28,3563952821489536,Anthe Lidgerton,6/8/2024,962790.67,Portable chess set with magnetic pieces for travel.
29,30128510675823,Deny Braun,1/25/2025,526106.12,"Tender jackfruit cooked in BBQ sauce, a delicious plant-based alternative."
30,5602215226758667,Melina Rozec,12/26/2024,709874.32,"Juicy pork tenderloin, great for roasting."
31,3537162847208620,Pammie Fenby,4/3/2025,505683.76,Vegan sushi filled with spicy vegetables and avocado.
32,3552578701598816,Al Comizzoli,1/20/2025,127060.28,Wi-Fi enabled doorbell with HD camera and two-way audio.
33,3544208927894366,Meagan Jacke,9/23/2024,888994.88,Delicate green tea leaves for a refreshing beverage.
34,3582713401972409,Maryl Josh,4/18/2025,523760.6,Everything you need to make melt-in-your-mouth cinnamon rolls at home.
