id1,id2,tgl_transaksi,jumlah_debit,jumlah_kredit
1,3552081402084905,9/16/2019,757459.28,838468.74
2,3552081402084905,4/25/2019,392011.59,151344.7
3,3552081402084905,1/2/2005,450904.68,526232.33
4,3552081402084905,10/1/2006,302103.2,417562.83
5,3552081402084905,1/24/2003,548022.68,93995.6
6,3552081402084905,4/16/2005,414341.01,21032.58
7,3552081402084905,6/27/2007,820692.71,897802.4
8,3552081402084905,9/28/2014,854302.28,215486.68
9,3552081402084905,11/26/2017,570751.24,462896.85
10,3552081402084905,6/18/2007,889775.63,545711.96
11,3552081402084905,5/12/2015,392990.32,275417.32
12,3552081402084905,4/20/2008,157979.56,227332.7
13,3552081402084905,4/7/2021,395971.93,666178.66
14,3552081402084905,2/28/2004,212167.02,106052.46
15,3552081402084905,5/15/2018,933900.35,62501.97
16,3552081402084905,3/5/2006,720429.45,861664.34
17,3552081402084905,7/13/2009,580784.96,97996.13
18,3552081402084905,12/10/2017,179238.25,12917.6
19,3552081402084905,10/28/2007,425936.38,478610.08
20,3552081402084905,12/13/2001,813788.88,411791.89
21,3552081402084905,5/4/2006,171663.39,165846.97
22,3552081402084905,5/9/2000,325215.84,342702.31
23,3552081402084905,5/20/2014,189995.46,721126.16
24,3552081402084905,4/15/2016,929998.84,182613.69
25,3552081402084905,12/1/2009,551038.31,794052.44
26,3552081402084905,9/30/2004,328374.11,875095.2
27,3552081402084905,10/3/2016,702945.35,559331.78
28,3552081402084905,7/22/2017,602852.66,164797.85
29,3552081402084905,8/23/2002,230406.33,942059.74
30,3552081402084905,4/10/2014,14929.26,2761.23
31,3552081402084905,12/28/2021,690425.47,617693.36
32,3552081402084905,9/21/2017,241753.18,227306.9
33,3552081402084905,12/17/2020,671889.69,775335.08
34,3552081402084905,1/11/2011,392753.46,353652.0
35,3552081402084905,6/26/2019,820765.69,707104.58
36,3552081402084905,3/24/2017,213651.9,262609.16
37,3552081402084905,3/21/2006,189408.6,618856.3
38,3552081402084905,8/3/2003,791757.85,42586.76
39,3552081402084905,3/14/2005,512423.48,721333.58
40,3552081402084905,11/3/2010,451576.63,191690.71
41,3552081402084905,10/16/2019,981191.77,831584.02
42,3552081402084905,5/2/2009,109435.4,235169.79
43,3552081402084905,11/22/2014,850866.3,754350.74
44,3552081402084905,2/21/2004,527375.83,70840.92
45,3552081402084905,6/19/2002,611329.31,125014.21
46,3552081402084905,2/12/2020,533323.19,131724.91
47,3552081402084905,5/31/2003,394008.87,481841.68
48,3552081402084905,8/16/2011,582006.82,182894.32
49,3552081402084905,1/12/2004,646825.38,420556.71
50,3552081402084905,11/6/2001,990208.78,336197.37
51,3552081402084905,2/9/2005,477817.0,894405.62
52,3552081402084905,8/22/2009,705670.53,40754.95
53,3552081402084905,2/8/2021,792749.11,279870.18
54,3552081402084905,2/26/2007,804207.88,299466.72
55,3552081402084905,10/17/2005,552712.62,144786.65
56,3552081402084905,12/23/2020,143024.56,134880.19
57,3552081402084905,8/24/2004,168270.56,414380.08
58,3552081402084905,2/12/2008,192299.23,372969.27
59,3552081402084905,12/12/2015,72335.99,303038.38
60,3552081402084905,10/10/2021,539943.04,247293.58
61,3552081402084905,10/14/2002,372718.17,875794.65
62,3552081402084905,8/8/2006,656257.13,423382.66
63,3552081402084905,11/1/2004,173988.12,297122.88
64,3552081402084905,2/5/2004,520706.01,445840.86
65,3552081402084905,1/23/2002,160977.1,904176.06
66,3552081402084905,1/29/2008,6114.48,403596.98
67,3552081402084905,9/1/2018,349972.94,483843.06
68,3552081402084905,10/22/2022,993719.12,944460.17
69,3552081402084905,9/22/2014,694824.85,695450.91
70,3552081402084905,8/24/2011,982526.06,885870.0
71,3552081402084905,1/25/2019,623406.0,50528.97
72,3552081402084905,3/30/2010,748262.64,42193.08
73,3552081402084905,2/23/2016,37481.78,14715.87
74,3552081402084905,8/13/2009,254926.39,745500.57
75,3552081402084905,6/30/2016,29657.93,974686.83
76,3552081402084905,7/7/2019,677989.04,989181.44
77,3552081402084905,1/13/2000,295677.04,221563.09
78,3552081402084905,8/26/2008,674779.54,150292.49
79,3552081402084905,11/14/2008,72963.31,134652.34
80,3552081402084905,10/3/2022,840904.71,894388.02
81,3552081402084905,10/4/2003,932589.81,943456.56
82,3552081402084905,6/3/2011,674105.98,245836.14
83,3552081402084905,10/21/2015,95810.88,74976.2
84,3552081402084905,2/27/2013,143591.67,969166.55
